pair,variant,rel_depth,layer_pair,s_esm,s_rita,split,d_point,d_boot_mean,boot_sd,ci_normal_lo,ci_normal_hi,ci_pct_lo,ci_pct_hi
esm2_vs_rita,struct_0.5s,0%,L0/L0,0.0814208984375,0.2496337890625,full,1.3883637971173053,1.1764881190043457,0.03244068864299,1.3247800473770448,1.4519475468575658,1.110841162440132,1.2355623639640554
esm2_vs_rita,struct_0.5s,13%,L4/L3,0.4375,0.49560546875,full,0.0536201931629083,0.0462144872653498,0.0156108838960294,0.0230228607266905,0.0842175255991261,0.0178029694709976,0.0759694714966155
esm2_vs_rita,struct_0.5s,25%,L8/L6,0.42578125,0.5283203125,full,0.3470975848505849,0.3067762784718969,0.0321972037063082,0.2839910655862208,0.410204104114949,0.2397463379827715,0.3668060990248716
esm2_vs_rita,struct_0.5s,38%,L12/L9,0.355224609375,0.6025390625,full,0.4990565014334327,0.4378662109769102,0.0404331273104075,0.4198075719050338,0.5783054309618315,0.3599584282878071,0.5173612029116043
esm2_vs_rita,struct_0.5s,50%,L16/L12,0.55029296875,0.66064453125,full,0.619609673700031,0.5466254347655927,0.0441909528718102,0.5329954060712829,0.706223941328779,0.4581163355524556,0.6351897153120625
esm2_vs_rita,struct_0.5s,63%,L20/L15,0.67822265625,0.69873046875,full,0.5052939385018022,0.450553018165385,0.0438429668379738,0.4193617234993735,0.5912261535042308,0.3655252617880149,0.53851862502015
esm2_vs_rita,struct_0.5s,75%,L24/L18,0.77490234375,0.73486328125,full,0.3211654105172247,0.2900557850130876,0.0374334955111265,0.2477957593154166,0.3945350617190327,0.2170937184252671,0.3652399694626634
esm2_vs_rita,struct_0.5s,88%,L28/L21,0.79931640625,0.76171875,full,0.3605195448375215,0.3333553721824943,0.0257868025417406,0.3099774118557098,0.4110616778193332,0.2832693916814186,0.3856475644800632
esm2_vs_rita,struct_0.5s,100%,L32/L23,0.740234375,0.529296875,full,0.7749549987970765,0.7045576079227864,0.0291288657505084,0.7178624219260799,0.8320475756680732,0.6440787768191478,0.7593734664509516
esm2_vs_rita,struct_0.5s,0%,L0/L0,0.0814208984375,0.2496337890625,val,0.7251693736569329,0.5635198346026753,0.0398666473700973,0.6470307448115421,0.8033080025023237,0.4848464623760625,0.6436184243911384
esm2_vs_rita,struct_0.5s,13%,L4/L3,0.4375,0.49560546875,val,0.0667651986303656,0.0581617192345791,0.0183570766511127,0.0307853283941847,0.1027450688665466,0.0274198258721901,0.098913728454113
esm2_vs_rita,struct_0.5s,25%,L8/L6,0.42578125,0.5283203125,val,0.2233837737819989,0.1758756070343745,0.0557061522749801,0.1141997153230377,0.33256783224096,0.071902305814183,0.2845213805701502
esm2_vs_rita,struct_0.5s,38%,L12/L9,0.355224609375,0.6025390625,val,0.3011405252930471,0.2272933956713146,0.0487771193714553,0.2055373713249946,0.3967436792610995,0.1402217838740687,0.3210302285649655
esm2_vs_rita,struct_0.5s,50%,L16/L12,0.55029296875,0.66064453125,val,0.3420638561587651,0.2577691515955456,0.0559780738789969,0.2323468313559312,0.4517808809615991,0.1568613874193951,0.368217734056974
esm2_vs_rita,struct_0.5s,63%,L20/L15,0.67822265625,0.69873046875,val,0.2920038033625443,0.218581075830829,0.0554066309383084,0.1834068067234597,0.4006008000016288,0.1177895843341594,0.3250072824352745
esm2_vs_rita,struct_0.5s,75%,L24/L18,0.77490234375,0.73486328125,val,0.1740968071982232,0.1299045099993635,0.0438889538639463,0.0880744576248883,0.2601191567715581,0.0445419649022295,0.2099925064212732
esm2_vs_rita,struct_0.5s,88%,L28/L21,0.79931640625,0.76171875,val,0.2106569349308149,0.1695628331988342,0.0264246591955878,0.1588646029074628,0.262449266954167,0.1194778860838976,0.2213213162700437
esm2_vs_rita,struct_0.5s,100%,L32/L23,0.740234375,0.529296875,val,0.4358181153906459,0.3483206964871386,0.02994236563513,0.3771310787457909,0.4945051520355009,0.2894709173563326,0.4055170557493201
esm2_vs_rita,struct_1.0s,0%,L0/L0,0.0814208984375,0.2496337890625,full,0.7234476928419669,0.5904470075199035,0.0253739929342,0.6737146666909348,0.7731807189929989,0.5375203496066826,0.6387466412609449
esm2_vs_rita,struct_1.0s,13%,L4/L3,0.4375,0.49560546875,full,0.003023057453724,0.0050378023358767,0.0170461645139576,-0.0303874249936328,0.0364335399010809,-0.0254847175404355,0.0382878954593574
esm2_vs_rita,struct_1.0s,25%,L8/L6,0.42578125,0.5283203125,full,0.3451465330566759,0.3037333529432099,0.0336143431455698,0.279262420491359,0.4110306456219928,0.235284244770767,0.3644962210309406
esm2_vs_rita,struct_1.0s,38%,L12/L9,0.355224609375,0.6025390625,full,0.5863053631070162,0.5087145208840186,0.0414884213000377,0.5049880573589423,0.6676226688550901,0.4274310658908841,0.5894747123121399
esm2_vs_rita,struct_1.0s,50%,L16/L12,0.55029296875,0.66064453125,full,0.7570265519178799,0.6604323305049579,0.0414552108434857,0.6757743386646479,0.838278765171112,0.5807715960833851,0.7417054143393227
esm2_vs_rita,struct_1.0s,63%,L20/L15,0.67822265625,0.69873046875,full,0.6883152758113248,0.6070217892919493,0.0409964567891623,0.6079622205045666,0.768668331118083,0.5242497146590428,0.6880890879002026
esm2_vs_rita,struct_1.0s,75%,L24/L18,0.77490234375,0.73486328125,full,0.5397190735079969,0.4836608592792183,0.0350071675300242,0.4711050251491493,0.6083331218668444,0.4119157086798805,0.5518706425420291
esm2_vs_rita,struct_1.0s,88%,L28/L21,0.79931640625,0.76171875,full,0.6205686318674547,0.5698796277135302,0.0299187819031267,0.5619278193373264,0.679209444397583,0.5100174694161743,0.627329456524401
esm2_vs_rita,struct_1.0s,100%,L32/L23,0.740234375,0.529296875,full,0.955496478226356,0.8532111025648405,0.0464726386799065,0.8644101064137393,1.046582850038973,0.7549594135246871,0.933819715405424
esm2_vs_rita,struct_1.0s,0%,L0/L0,0.0814208984375,0.2496337890625,val,0.3974748265819974,0.3037025813245298,0.036172412746453,0.3265768975989493,0.4683727555650454,0.2304276921991782,0.368745161599907
esm2_vs_rita,struct_1.0s,13%,L4/L3,0.4375,0.49560546875,val,0.0264394728303025,0.0222443337989703,0.016770010882253,-0.0064297484989134,0.0593086941595184,-0.0051041516010676,0.0580180574929663
esm2_vs_rita,struct_1.0s,25%,L8/L6,0.42578125,0.5283203125,val,0.2136305943359504,0.1716013473395543,0.0550972264131673,0.1056400305661425,0.3216211581057583,0.0678621445309418,0.2807794874067842
esm2_vs_rita,struct_1.0s,38%,L12/L9,0.355224609375,0.6025390625,val,0.3224489832457401,0.2463975016751188,0.0476395445038434,0.229075476018207,0.4158224904732732,0.158626310266696,0.3387902711090946
esm2_vs_rita,struct_1.0s,50%,L16/L12,0.55029296875,0.66064453125,val,0.3941835403565271,0.3019500292431227,0.0535287800683227,0.2892671314226145,0.4990999492904396,0.1999018678814558,0.4109012881680482
esm2_vs_rita,struct_1.0s,63%,L20/L15,0.67822265625,0.69873046875,val,0.3987867393440748,0.3055516976248481,0.0511552349372707,0.2985224788670242,0.4990509998211254,0.2137246289127647,0.4033489872104138
esm2_vs_rita,struct_1.0s,75%,L24/L18,0.77490234375,0.73486328125,val,0.3444233186918357,0.2693260599277352,0.0405893578848074,0.2648681772376131,0.4239784601460582,0.1896775735001043,0.3470311607673189
esm2_vs_rita,struct_1.0s,88%,L28/L21,0.79931640625,0.76171875,val,0.4420613245002747,0.3580559058256258,0.0310379177385508,0.3812270057327151,0.5028956432678344,0.295458339126717,0.4190858161641013
esm2_vs_rita,struct_1.0s,100%,L32/L23,0.740234375,0.529296875,val,0.6033491891019005,0.4814458534279393,0.0381242889181808,0.528625582822266,0.678072795381535,0.4068257690931705,0.5545867571196172
esm2_vs_rita,struct_2.0s,0%,L0/L0,0.0814208984375,0.2496337890625,full,0.2466118040995981,0.2017291127855515,0.0263508308429334,0.1949641756474486,0.2982594325517477,0.1506997586069415,0.2437382826005076
esm2_vs_rita,struct_2.0s,13%,L4/L3,0.4375,0.49560546875,full,0.0698790585897044,0.0618557586694183,0.0194317498543341,0.0317928288752095,0.1079652883041993,0.025867730571354,0.0997827599138207
esm2_vs_rita,struct_2.0s,25%,L8/L6,0.42578125,0.5283203125,full,0.2470237372972249,0.2130076818281355,0.0371578510188385,0.1741943493003014,0.3198531252941484,0.1383835077510819,0.2823614718717048
esm2_vs_rita,struct_2.0s,38%,L12/L9,0.355224609375,0.6025390625,full,0.3681946662118585,0.3426599529140793,0.039742519784285,0.2902993274346598,0.4460900049890572,0.2744092844643917,0.4320494762227888
esm2_vs_rita,struct_2.0s,50%,L16/L12,0.55029296875,0.66064453125,full,0.5160007748944417,0.4645501952442603,0.0309194817375376,0.455398590688868,0.5766029591000155,0.4050698561704307,0.5263364184253208
esm2_vs_rita,struct_2.0s,63%,L20/L15,0.67822265625,0.69873046875,full,0.4737449698001439,0.4248685450882827,0.0264225709446262,0.4219567307486765,0.5255332088516114,0.3740594408441172,0.4753885323829241
esm2_vs_rita,struct_2.0s,75%,L24/L18,0.77490234375,0.73486328125,full,0.3409738250470558,0.3086710571116722,0.0236690838504334,0.2945824207002064,0.3873652293939053,0.2585189792402009,0.3528358519827084
esm2_vs_rita,struct_2.0s,88%,L28/L21,0.79931640625,0.76171875,full,0.2254048275661686,0.2181644628753332,0.023895752180109,0.1785691532931549,0.2722405018391823,0.1771143314308748,0.268277239214009
esm2_vs_rita,struct_2.0s,100%,L32/L23,0.740234375,0.529296875,full,0.254675628051053,0.2316667408632039,0.0256410755609992,0.2044191199514945,0.3049321361506114,0.1755601825929932,0.2724782609261482
