model_a,layer_a,model_b,layer_b,rel_depth_a,rel_depth_b,contact_cutoff,mean_a,mean_b,cohens_d,MW_p,significant,hypothesis,source,pair,window,variant
esm2,0,rita,0,0.0,0.0,6.0,0.0911863967776298,0.0037939890753477,1.203229636121257,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,0,rita,0,0.0,0.0,8.0,0.1428778767585754,0.0024771757889539,1.4401910244712322,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,0,rita,0,0.0,0.0,10.0,0.1332565993070602,-0.0004579582018777,1.485810716166296,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,4,rita,3,0.125,0.1304347826086956,6.0,0.0061861374415457,0.004303062800318,0.0355330802511208,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,4,rita,3,0.125,0.1304347826086956,8.0,0.0046883947215974,0.0020492556504905,0.0458552117794154,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,4,rita,3,0.125,0.1304347826086956,10.0,0.0002189167134929,-0.0021673350129276,0.0521819072716771,1.0202466277120444e-24,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,8,rita,6,0.25,0.2608695652173913,6.0,0.0185159295797348,0.0051192180253565,0.3045798018017683,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,8,rita,6,0.25,0.2608695652173913,8.0,0.0194916017353534,0.0025964616797864,0.3424540426445075,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,8,rita,6,0.25,0.2608695652173913,10.0,0.0132565004751086,-0.0015191277489066,0.3055414057420352,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,12,rita,9,0.375,0.391304347826087,6.0,0.0302414782345294,0.0060579068958759,0.3723373181996194,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,12,rita,9,0.375,0.391304347826087,8.0,0.0397962406277656,0.0034948468673974,0.4962261564369853,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,12,rita,9,0.375,0.391304347826087,10.0,0.0348177552223205,-0.0011127444449812,0.4844758028971139,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,16,rita,12,0.5,0.5217391304347826,6.0,0.0361571572721004,0.0054271914996206,0.4315426116638644,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,16,rita,12,0.5,0.5217391304347826,8.0,0.0527166612446308,0.0028635438065975,0.6158817847275736,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,16,rita,12,0.5,0.5217391304347826,10.0,0.0509030111134052,-0.0019813755061477,0.6218656803871249,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,20,rita,15,0.625,0.6521739130434783,6.0,0.0325916856527328,0.0063112596981227,0.3570183107344583,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,20,rita,15,0.625,0.6521739130434783,8.0,0.045763973146677,0.0042841881513595,0.5012676121877792,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,20,rita,15,0.625,0.6521739130434783,10.0,0.0423371419310569,-7.086108234943822e-05,0.4908504401727266,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,24,rita,18,0.75,0.782608695652174,6.0,0.0248033069074153,0.0053980587981641,0.3023964613185838,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,24,rita,18,0.75,0.782608695652174,8.0,0.0257072541862726,0.0033960368018597,0.3186335001482444,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,24,rita,18,0.75,0.782608695652174,10.0,0.0162294097244739,-0.0010900996858254,0.2436116067732822,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,28,rita,21,0.875,0.9130434782608696,6.0,0.0233047269284725,0.0046074609272181,0.3645739575301734,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,28,rita,21,0.875,0.9130434782608696,8.0,0.0219513326883316,0.0029671099036931,0.3580895095295746,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,28,rita,21,0.875,0.9130434782608696,10.0,0.0142855616286396,-0.0008560080896131,0.3001158266507301,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,32,rita,23,1.0,1.0,6.0,0.0286308266222476,0.0032663757447153,0.6212051162589621,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,32,rita,23,1.0,1.0,8.0,0.0335448458790779,0.0010466919047757,0.7302422376992785,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
esm2,32,rita,23,1.0,1.0,10.0,0.0285168029367923,-0.0031094632577151,0.7739519050430687,0.0,True,H1 (ESM-2 struct > RITA struct),H1_cutoff,,,
prott5_enc,0,prott5_dec,0,0.0,0.0,6.0,0.0071290815249085,0.016491062939167,-0.254750092353617,1.0,False,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
prott5_enc,0,prott5_dec,0,0.0,0.0,8.0,0.0063173882663249,0.0171288009732961,-0.2958081367495686,1.0,False,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
prott5_enc,0,prott5_dec,0,0.0,0.0,10.0,0.0020925975404679,0.0162874683737754,-0.5036187569748175,1.0,False,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
prott5_enc,3,prott5_dec,3,0.1304347826086956,0.1304347826086956,6.0,0.0060951020568609,0.0189450271427631,-0.3370578558397707,1.0,False,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
prott5_enc,3,prott5_dec,3,0.1304347826086956,0.1304347826086956,8.0,0.0048761148937046,0.0204818658530712,-0.4015690076360274,1.0,False,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
prott5_enc,3,prott5_dec,3,0.1304347826086956,0.1304347826086956,10.0,0.001012489432469,0.0173151344060897,-0.5054696102856076,1.0,False,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
prott5_enc,6,prott5_dec,6,0.2608695652173913,0.2608695652173913,6.0,0.0039505893364548,0.0152448834851384,-0.2877329875381087,1.0,False,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
prott5_enc,6,prott5_dec,6,0.2608695652173913,0.2608695652173913,8.0,-0.0004472020664252,0.0145492497831583,-0.3813110897367717,1.0,False,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
prott5_enc,6,prott5_dec,6,0.2608695652173913,0.2608695652173913,10.0,-0.0072552561759948,0.0099811237305402,-0.5146077653196055,1.0,False,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
prott5_enc,9,prott5_dec,9,0.391304347826087,0.391304347826087,6.0,0.0081295315176248,0.0128806512802839,-0.1131315262228632,0.999999463558197,False,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
prott5_enc,9,prott5_dec,9,0.391304347826087,0.391304347826087,8.0,0.0056817904114723,0.0112067069858312,-0.1307857656228035,1.0,False,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
prott5_enc,9,prott5_dec,9,0.391304347826087,0.391304347826087,10.0,-0.0015573967248201,0.005327396094799,-0.1887893345450683,1.0,False,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
prott5_enc,12,prott5_dec,12,0.5217391304347826,0.5217391304347826,6.0,0.0257590934634208,0.0110746147111058,0.2857870219306237,0.0,True,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
prott5_enc,12,prott5_dec,12,0.5217391304347826,0.5217391304347826,8.0,0.02972805313766,0.0083525106310844,0.40243233389505,0.0,True,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
prott5_enc,12,prott5_dec,12,0.5217391304347826,0.5217391304347826,10.0,0.0220136363059282,0.0020016063936054,0.4128455838458446,0.0,True,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
prott5_enc,15,prott5_dec,15,0.6521739130434783,0.6521739130434783,6.0,0.0295522473752498,0.0102803828194737,0.3166679181236477,0.0,True,H3 (ProtT5 enc struct > dec struct),H3_cutoff,,,
