pair,variant,rel_depth,layer,split,d_point,d_boot_mean,boot_sd,ci_normal_lo,ci_normal_hi,ci_pct_lo,ci_pct_hi
pt5_enc_vs_dec,struct_topdec,0%,L0,full,-0.29580788977501954,-0.2734897289182278,0.018024427725739887,-0.3311357681174697,-0.2604800114325694,-0.3095967913983252,-0.2394656394415524
pt5_enc_vs_dec,struct_topdec,0%,L0,val,-0.1873219166650901,-0.14598258009066195,0.02704265472798172,-0.24032551993193427,-0.13431831339824593,-0.19621348943520797,-0.09429249084659046
pt5_enc_vs_dec,seq_topdec,0%,L0,full,-0.4822927929255609,-0.47477791542004527,0.025256854566338017,-0.5317962278755833,-0.43278935797553836,-0.5168256220259175,-0.41509923816485017
pt5_enc_vs_dec,seq_topdec,0%,L0,val,-0.49729511212699606,-0.45441340700762883,0.040043599490471586,-0.5757805671283204,-0.41880965712567175,-0.5319122319058281,-0.3811846088763298
pt5_enc_vs_dec,struct_topdec,13%,L3,full,-0.4015689191761375,-0.3746410218738193,0.020994732815815233,-0.44271859549513537,-0.36041924285713967,-0.4166473990113155,-0.33240068818236496
pt5_enc_vs_dec,struct_topdec,13%,L3,val,-0.28921165500440177,-0.22595466008244464,0.03321928548120423,-0.35432145454756203,-0.22410185546124148,-0.28703147749448427,-0.16072814401726404
pt5_enc_vs_dec,seq_topdec,13%,L3,full,-2.616761221780537,-2.567240992331878,0.027797908102943126,-2.6712451216623054,-2.5622773218987684,-2.6191532276598846,-2.509147655829514
pt5_enc_vs_dec,seq_topdec,13%,L3,val,-2.362506899394312,-2.1023973550403543,0.06444185583331807,-2.4888129368276157,-2.2362008619610085,-2.224248352146442,-1.9755103255907402
pt5_enc_vs_dec,struct_topdec,25%,L6,full,-0.38131074411206733,-0.3533675906757621,0.01892441317254701,-0.41840259393025947,-0.3442188942938752,-0.3895179338529305,-0.3174715102346042
pt5_enc_vs_dec,struct_topdec,25%,L6,val,-0.2518880246164184,-0.19711020887613176,0.029450861333055134,-0.30961171282920646,-0.19416433640363034,-0.2550129185084266,-0.1399953340277881
pt5_enc_vs_dec,seq_topdec,25%,L6,full,-1.640480056700608,-1.6022196025964923,0.03630491222863506,-1.7116376846687327,-1.5693224287324832,-1.6737093206469371,-1.5316443968910411
pt5_enc_vs_dec,seq_topdec,25%,L6,val,-1.4244461375559252,-1.2517304093723203,0.07780292354186291,-1.5769398676979764,-1.271952407413874,-1.395740593228936,-1.0983460903328786
pt5_enc_vs_dec,struct_topdec,38%,L9,full,-0.130785811566398,-0.12059864391565152,0.017109818051322983,-0.16432105494699106,-0.09725056818580496,-0.15354312339990886,-0.08645787852492852
pt5_enc_vs_dec,struct_topdec,38%,L9,val,-0.07259686131266317,-0.05651342421795198,0.024752059737922615,-0.1211108983989915,-0.02408282422633485,-0.10408325270986768,-0.00703026316639039
