model_a,layer_a,model_b,layer_b,rel_depth_a,rel_depth_b,contact_cutoff,mean_a,mean_b,cohens_d,MW_p,significant,hypothesis
esm2,0,rita,0,0.0,0.0,6.0,0.09118639677762985,0.003793989075347781,1.203229636121257,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,0,rita,0,0.0,0.0,8.0,0.14287787675857544,0.0024771757889539003,1.4401910244712322,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,0,rita,0,0.0,0.0,10.0,0.13325659930706024,-0.0004579582018777728,1.4858107161662961,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,4,rita,3,0.125,0.13043478260869565,6.0,0.006186137441545725,0.004303062800318003,0.035533080251120834,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,4,rita,3,0.125,0.13043478260869565,8.0,0.004688394721597433,0.0020492556504905224,0.04585521177941549,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,4,rita,3,0.125,0.13043478260869565,10.0,0.00021891671349294484,-0.0021673350129276514,0.05218190727167716,1.0202466277120444e-24,True,H1 (ESM-2 struct > RITA struct)
esm2,8,rita,6,0.25,0.2608695652173913,6.0,0.018515929579734802,0.005119218025356531,0.3045798018017683,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,8,rita,6,0.25,0.2608695652173913,8.0,0.01949160173535347,0.0025964616797864437,0.3424540426445075,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,8,rita,6,0.25,0.2608695652173913,10.0,0.013256500475108624,-0.0015191277489066124,0.30554140574203525,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,12,rita,9,0.375,0.391304347826087,6.0,0.030241478234529495,0.006057906895875931,0.37233731819961946,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,12,rita,9,0.375,0.391304347826087,8.0,0.039796240627765656,0.0034948468673974276,0.4962261564369853,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,12,rita,9,0.375,0.391304347826087,10.0,0.03481775522232056,-0.0011127444449812174,0.48447580289711395,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,16,rita,12,0.5,0.5217391304347826,6.0,0.03615715727210045,0.005427191499620676,0.4315426116638644,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,16,rita,12,0.5,0.5217391304347826,8.0,0.052716661244630814,0.0028635438065975904,0.6158817847275736,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,16,rita,12,0.5,0.5217391304347826,10.0,0.05090301111340523,-0.0019813755061477423,0.6218656803871249,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,20,rita,15,0.625,0.6521739130434783,6.0,0.03259168565273285,0.00631125969812274,0.35701831073445833,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,20,rita,15,0.625,0.6521739130434783,8.0,0.04576397314667702,0.004284188151359558,0.5012676121877792,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,20,rita,15,0.625,0.6521739130434783,10.0,0.042337141931056976,-7.086108234943822e-05,0.4908504401727266,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,24,rita,18,0.75,0.782608695652174,6.0,0.02480330690741539,0.005398058798164129,0.30239646131858383,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,24,rita,18,0.75,0.782608695652174,8.0,0.02570725418627262,0.0033960368018597364,0.31863350014824443,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,24,rita,18,0.75,0.782608695652174,10.0,0.016229409724473953,-0.0010900996858254075,0.24361160677328222,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,28,rita,21,0.875,0.9130434782608695,6.0,0.02330472692847252,0.004607460927218199,0.36457395753017346,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,28,rita,21,0.875,0.9130434782608695,8.0,0.021951332688331604,0.002967109903693199,0.35808950952957463,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,28,rita,21,0.875,0.9130434782608695,10.0,0.014285561628639698,-0.0008560080896131694,0.3001158266507301,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,32,rita,23,1.0,1.0,6.0,0.028630826622247696,0.003266375744715333,0.6212051162589621,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,32,rita,23,1.0,1.0,8.0,0.03354484587907791,0.0010466919047757983,0.7302422376992785,0.0,True,H1 (ESM-2 struct > RITA struct)
esm2,32,rita,23,1.0,1.0,10.0,0.028516802936792374,-0.003109463257715106,0.7739519050430687,0.0,True,H1 (ESM-2 struct > RITA struct)
