model,layer,contact_cutoff,mean,median,std,count
esm2,0,6.0,0.0911864,0.07865009,0.099851504,10240
esm2,0,8.0,0.14287788,0.13062829,0.13514039,10240
esm2,0,10.0,0.13325661,0.12018323,0.12483191,10240
esm2,4,6.0,0.0061861374,0.0034521613,0.02238355,10240
esm2,4,8.0,0.0046883947,0.0026808605,0.023484992,10240
esm2,4,10.0,0.00021891673,-0.0011123456,0.019885212,10240
esm2,8,6.0,0.01851593,0.011963237,0.04215358,10240
esm2,8,8.0,0.019491602,0.012186293,0.047395766,10240
esm2,8,10.0,0.0132565005,0.0057226196,0.047080226,10240
esm2,12,6.0,0.03024148,0.02212362,0.07116428,10240
esm2,12,8.0,0.039796237,0.031045765,0.08064163,10240
esm2,12,10.0,0.03481776,0.025237337,0.08359421,10240
esm2,16,6.0,0.036157157,0.02612798,0.084167026,10240
esm2,16,8.0,0.05271666,0.042764105,0.09678238,10240
esm2,16,10.0,0.050903015,0.03920044,0.103253745,10240
esm2,20,6.0,0.032591686,0.021007001,0.08569171,10240
esm2,20,8.0,0.045763973,0.036396697,0.0962313,10240
esm2,20,10.0,0.042337142,0.032135084,0.1014721,10240
esm2,24,6.0,0.024803307,0.014092602,0.071885526,10240
esm2,24,8.0,0.025707254,0.015579037,0.07634159,10240
esm2,24,10.0,0.01622941,0.007047303,0.076118745,10240
esm2,28,6.0,0.023304727,0.013667144,0.05412628,10240
esm2,28,8.0,0.021951333,0.014966801,0.051169693,10240
esm2,28,10.0,0.01428556,0.008772038,0.043728318,10240
esm2,32,6.0,0.028630828,0.022546459,0.0435389,10240
esm2,32,8.0,0.033544846,0.028324235,0.04506019,10240
esm2,32,10.0,0.028516803,0.024686337,0.03503271,10240
prott5_dec,0,6.0,0.016491063,0.01126641,0.036879096,8192
prott5_dec,0,8.0,0.017128801,0.013333047,0.03223709,8192
prott5_dec,0,10.0,0.016287468,0.01393988,0.026248952,8192
prott5_dec,3,6.0,0.018945027,0.011824012,0.045783147,8192
prott5_dec,3,8.0,0.020481866,0.013915472,0.044567976,8192
prott5_dec,3,10.0,0.017315134,0.012040693,0.037818547,8192
prott5_dec,6,6.0,0.015244884,0.00807688,0.04629351,8192
prott5_dec,6,8.0,0.01454925,0.008206982,0.045742035,8192
prott5_dec,6,10.0,0.009981124,0.0048047155,0.040042743,8192
prott5_dec,9,6.0,0.012880652,0.005580101,0.04754193,8192
prott5_dec,9,8.0,0.011206706,0.005103141,0.046990354,8192
prott5_dec,9,10.0,0.005327396,0.00018051267,0.041181795,8192
prott5_dec,12,6.0,0.011074615,0.0047343764,0.046493895,8192
prott5_dec,12,8.0,0.008352511,0.0025903322,0.046197068,8192
prott5_dec,12,10.0,0.0020016064,-0.0028071068,0.04099253,8192
prott5_dec,15,6.0,0.010280383,0.0033952575,0.04636991,8192
prott5_dec,15,8.0,0.007610213,0.0015251897,0.045993116,8192
prott5_dec,15,10.0,0.0013449542,-0.0033665672,0.04033319,8192
prott5_dec,18,6.0,0.011252277,0.004220655,0.043495465,8192
prott5_dec,18,8.0,0.008894227,0.0030148253,0.04330961,8192
prott5_dec,18,10.0,0.0030522987,-0.0010855161,0.037695847,8192
prott5_dec,21,6.0,0.015317091,0.008837396,0.042535186,8192
prott5_dec,21,8.0,0.015592949,0.009668777,0.04053896,8192
prott5_dec,21,10.0,0.010918039,0.0061991364,0.03327469,8192
prott5_dec,23,6.0,0.014164386,0.009936025,0.03880259,8192
prott5_dec,23,8.0,0.016327493,0.011857197,0.041539073,8192
prott5_dec,23,10.0,0.013637939,0.011147581,0.029387588,8192
prott5_enc,0,6.0,0.0071290815,0.0027667377,0.036619782,8192
prott5_enc,0,8.0,0.0063173883,0.001625549,0.040402845,8192
prott5_enc,0,10.0,0.0020925975,-0.0012859534,0.029997751,8192
prott5_enc,3,6.0,0.006095102,0.0024463963,0.028473696,8192
prott5_enc,3,8.0,0.004876115,0.0014860723,0.032158915,8192
prott5_enc,3,10.0,0.0010124894,-0.0014980547,0.025499046,8192
prott5_enc,6,6.0,0.0039505893,0.00035238825,0.03063428,8192
prott5_enc,6,8.0,-0.00044720207,-0.0038648136,0.031640988,8192
prott5_enc,6,10.0,-0.0072552557,-0.00942488,0.025304204,8192
prott5_enc,9,6.0,0.0081295315,0.0041870214,0.03559727,8192
prott5_enc,9,8.0,0.00568179,0.0023944527,0.036892015,8192
prott5_enc,9,10.0,-0.0015573967,-0.003880076,0.031046864,8192
prott5_enc,12,6.0,0.025759093,0.019757044,0.05584496,8192
prott5_enc,12,8.0,0.029728053,0.024107657,0.05923193,8192
prott5_enc,12,10.0,0.022013636,0.017142817,0.054945007,8192
prott5_enc,15,6.0,0.029552247,0.020000137,0.07250718,8192
prott5_enc,15,8.0,0.033790644,0.027739942,0.07363261,8192
prott5_enc,15,10.0,0.024943342,0.020644411,0.06753573,8192
prott5_enc,18,6.0,0.035323292,0.023901656,0.07280874,8192
